scope;messages_total;translatable;protected;review;en_complete;en_missing;en_coverage_pct;ro_complete;ro_missing;ro_coverage_pct;el_complete;el_missing;el_coverage_pct;es_complete;es_missing;es_coverage_pct;fr_complete;fr_missing;fr_coverage_pct
ALL;3373;2789;162;422;105;3268;3.11;105;3268;3.11;105;3268;3.11;105;3268;3.11;105;3268;3.11
cases;501;422;40;39;1;500;0.2;1;500;0.2;1;500;0.2;1;500;0.2;1;500;0.2
courses;51;27;23;1;0;51;0.0;0;51;0.0;0;51;0.0;0;51;0.0;0;51;0.0
deep_dive;997;869;18;110;4;993;0.4;4;993;0.4;4;993;0.4;4;993;0.4;4;993;0.4
metadata;255;252;0;3;0;255;0.0;0;255;0.0;0;255;0.0;0;255;0.0;0;255;0.0
methods;244;134;66;44;3;241;1.23;3;241;1.23;3;241;1.23;3;241;1.23;3;241;1.23
reasoning_gates;31;31;0;0;0;31;0.0;0;31;0.0;0;31;0.0;0;31;0.0;0;31;0.0
runtime_ui;1300;1121;15;164;0;1300;0.0;0;1300;0.0;0;1300;0.0;0;1300;0.0;0;1300;0.0
scoring;7;7;0;0;0;7;0.0;0;7;0.0;0;7;0.0;0;7;0.0;0;7;0.0
ui;134;57;5;72;105;29;78.36;105;29;78.36;105;29;78.36;105;29;78.36;105;29;78.36
