case_id;base_id;title;block1_domain;block1_met Zusatztyp;block1_subdomain;block1_case_type;block1_length_final;block1_estimated_min;block1_estimated_max;block1_difficulty_final;block1_status_final;block1_review_flag;block1_review_priority;block1_decision;block2_gate_required;block2_gate_position;block2_gate_count;block2_question_types;block2_gate_1;block2_gate_2;block2_gate_3;block2_gate_4;block2_decision;block3_error_class;block3_critical_error_count;block3_strictest_score_cap;block3_cap_combination_rule;block3_pass_fail_flag_logic;block3_decision;block4_recommended_methods_or_actions;block4_reflex_conditional;block4_low_value_examples;block4_misleading_examples;block4_method_review_flag;block4_decision;core_decision;learning_objectives;tags
MTB_NSCLC_001_v0_6;MTB_NSCLC_001;Pulmonale Raumforderung → NSCLC → molekulare Therapieentscheidung;MTB;no;Onkogene Treiber / NSCLC / Resistenz;clinical_decision;Standard;8;12;Intermediate;curated-core;Core/MVP prüfen;high;"MTB; Länge=Standard; Schwierigkeit=Intermediate; Status=curated-core";yes;Nach Fallakte/Anamnese/Histo-Material, vor Anforderung;2;"Single Choice; Multi Select";Was ist die zentrale klinisch-molekulare Fragestellung in diesem Fall?;Welche Material- und Methodenlimitation ist relevant: Gewebe, Liquid Biopsy, DNA/RNA oder Fusionserfassung?;;;"2 Gate-Frage(n); Single Choice / Multi Select; vor Hauptentscheidung";major;2;75;"strengster Cap gewinnt; weitere Critical/Fatal-Fehler geben Zusatzabzüge innerhalb des Caps; Cap verbessert nie";passed / borderline / critical_fail / incomplete je nach Score, Fatal-Fehlern und Abschlussstatus;"Strengster Cap 75%; weitere kritische Fehler: Zusatzabzug innerhalb dieses Caps; Cap kann Score nie verbessern.";he_review | pdl1 | dna_lung_panel | rna_fusion_panel | dna_rna_lung_combo | ihc_lung_lineage;;mmr_ihc | msi_pcr_ngs | mlh1_methylation | methylation_mlh1 | hrd_score | brca_germline_only;mlh1_methylation | hrd_score;priority review;"Methodenklassen: recommended/optional/reflex/incomplete/low_value/misleading/invalid; Review=priority review";NSCLC → molekulare Therapieentscheidung;Zentrale klinisch-molekulare Fragestellung aus Anamnese, Histologie und Materialkontext ableiten | Passende molekulare/IHC-basierte Methode zur Kernentscheidung auswählen | Musterlösung im MTB klar, limitiert und patientenrelevant kommunizieren;NSCLC | IHC | DNA-NGS | RNA-NGS | PD-L1 | ALK | Materialbudget | MTB
MTB_CRC_001_v0_6;MTB_CRC_001;Metastasiertes CRC → RAS/BRAF/MMR/MSI vor Systemtherapie;MTB;no;CRC / RAS-BRAF / MSI-Lynch;clinical_decision;Standard;8;12;Intermediate;curated-core;Core/MVP prüfen;high;"MTB; Länge=Standard; Schwierigkeit=Intermediate; Status=curated-core";yes;Nach Fallakte/Anamnese/Histo-Material, vor Anforderung;2;"Single Choice; Multi Select";Was ist die zentrale klinisch-molekulare Fragestellung in diesem Fall?;Welche Material- und Methodenlimitation ist relevant: Gewebe, Liquid Biopsy, DNA/RNA oder Fusionserfassung?;;;"2 Gate-Frage(n); Single Choice / Multi Select; vor Hauptentscheidung";major-critical;3;70;"strengster Cap gewinnt; weitere Critical/Fatal-Fehler geben Zusatzabzüge innerhalb des Caps; Cap verbessert nie";passed / borderline / critical_fail / incomplete je nach Score, Fatal-Fehlern und Abschlussstatus;"Strengster Cap 70%; weitere kritische Fehler: Zusatzabzug innerhalb dieses Caps; Cap kann Score nie verbessern.";he_review | mmr_ihc | msi_pcr_ngs | ras_panel_crc | braf_v600e_crc | mlh1_methylation | colon_ngs_panel;mlh1_methylation | methylation_mlh1 | her2_crc_ihc_ish;dna_lung_panel | rna_fusion_panel | pdl1 | hrd_score;rna_fusion_panel | hrd_score;priority review;"Methodenklassen: recommended/optional/reflex/incomplete/low_value/misleading/invalid; Review=priority review";RAS/BRAF/MMR/MSI vor Systemtherapie;Zentrale klinisch-molekulare Fragestellung aus Anamnese, Histologie und Materialkontext ableiten | MMR/MSI-Befunde therapeutisch und hereditär korrekt einordnen | Musterlösung im MTB klar, limitiert und patientenrelevant kommunizieren;CRC | mCRC | RAS | BRAF | MMR | MSI | MLH1 | anti-EGFR | Immuntherapie | Lynch
MTB_OVAR_001_v0_7;MTB_OVAR_001;High-grade seröses Ovarialkarzinom → BRCA/HRD/PARP/Keimbahn-Kontext;MTB;no;HRD / BRCA / PARP / Keimbahn;clinical_decision;Standard;10;14;Advanced;curated-core;Core/MVP prüfen;high;"MTB; Länge=Standard; Schwierigkeit=Advanced; Status=curated-core";yes;Nach Fallakte/Anamnese/Histo-Material, vor Anforderung;2;"Single Choice; Multi Select";Was ist die zentrale klinisch-molekulare Fragestellung in diesem Fall?;Welche Material- und Methodenlimitation ist relevant: Gewebe, Liquid Biopsy, DNA/RNA oder Fusionserfassung?;;;"2 Gate-Frage(n); Single Choice / Multi Select; vor Hauptentscheidung";major-critical;3;70;"strengster Cap gewinnt; weitere Critical/Fatal-Fehler geben Zusatzabzüge innerhalb des Caps; Cap verbessert nie";passed / borderline / critical_fail / incomplete je nach Score, Fatal-Fehlern und Abschlussstatus;"Strengster Cap 70%; weitere kritische Fehler: Zusatzabzug innerhalb dieses Caps; Cap kann Score nie verbessern.";he_review | ihc_ovar_lineage | tumor_brca_hrr | hrd_score | germline_referral;;dna_lung_panel | mlh1_methylation | kras_exon2_only;tp53_single;priority review;"Methodenklassen: recommended/optional/reflex/incomplete/low_value/misleading/invalid; Review=priority review";BRCA/HRD/PARP/Keimbahn-Kontext;Zentrale klinisch-molekulare Fragestellung aus Anamnese, Histologie und Materialkontext ableiten | RNA-basierte Fusionsdiagnostik gegenüber DNA-only- oder Einzeltests korrekt priorisieren | Musterlösung im MTB klar, limitiert und patientenrelevant kommunizieren;Ovarialkarzinom | HGSOC | BRCA1 | HRD | PARP | Keimbahn | DNA-Reparatur | MTB
LAB_RUN_002_v0_8;LAB_RUN_002;Hotspot-Mutation in der Negativkontrolle → Run-Sperre, Ursachenanalyse und CAPA;LAB;no;Analytik / Kontrollen / Run-Freigabe;qm_capa_decision;Standard;10;15;Intermediate;curated-core;Core/MVP prüfen;high;"LAB; Länge=Standard; Schwierigkeit=Intermediate; Status=curated-core";yes;Nach Proben-/Run-/QC-Kontext, vor Freigabe/CAPA-Entscheidung;2;"Single Choice; Multi Select";Welches patientensicherheits- oder qualitätsrelevante Risiko liegt im aktuellen Labor-/Run-Kontext vor?;Welche Sofortmaßnahme schützt vor falsch-positiven oder kontaminierten Ergebnissen?;;;"2 Gate-Frage(n); Single Choice / Multi Select; vor Hauptentscheidung";critical;4;55;"strengster Cap gewinnt; weitere Critical/Fatal-Fehler geben Zusatzabzüge innerhalb des Caps; Cap verbessert nie";passed / borderline / critical_fail / incomplete je nach Score, Fatal-Fehlern und Abschlussstatus;"Strengster Cap 55%; weitere kritische Fehler: Zusatzabzug innerhalb dieses Caps; Cap kann Score nie verbessern.";traceability_review | sop_version_review | risk_based_hold | deviation_documentation | capa_workflow;;release_without_review | comment_only_no_capa;ignore_qc_warning;priority review;"Methodenklassen: recommended/optional/reflex/incomplete/low_value/misleading/invalid; Review=priority review";Technisch wirkt der Run zunächst vollständig auswertbar.;Patientensicherheits- und Qualitätsrisiko des Ereignisses korrekt priorisieren | Kontroll- und Run-Freigabelogik risikobasiert anwenden | Freigabe-, Sperr- oder Wiederholungsentscheidung auditfähig begründen;Labor | QM | NGS | Kontamination | Negativkontrolle | KRAS | CAPA | Audit
RES_HYP_001_v0_9;RES_HYP_001;Wir messen mal alles → von Omics-Idee zur prüfbaren Hypothese;RES;no;Omics / Analyse / Reproduzierbarkeit;research_design_decision;Standard;10;15;Intermediate;curated-core;Core/MVP prüfen;high;"RES; Länge=Standard; Schwierigkeit=Intermediate; Status=curated-core";yes;Nach Projektidee/Kontext/Materiallage, vor Hypothese/Design/Analyseplan;2;"Single Choice; Multi Select";Was ist die zentrale Forschungsfrage bzw. was fehlt der vorliegenden Projektidee primär?;Wie wird die Projektidee in Hypothese/PICO, Endpunkt und Analyseplan übersetzt?;;;"2 Gate-Frage(n); Single Choice / Multi Select; vor Hauptentscheidung";critical;3;60;"strengster Cap gewinnt; weitere Critical/Fatal-Fehler geben Zusatzabzüge innerhalb des Caps; Cap verbessert nie";passed / borderline / critical_fail / incomplete je nach Score, Fatal-Fehlern und Abschlussstatus;"Strengster Cap 60%; weitere kritische Fehler: Zusatzabzug innerhalb dieses Caps; Cap kann Score nie verbessern.";pico_definition | analysis_plan | ethics_governance_check | validation_strategy;;measure_everything_without_question | posthoc_marker_cherry_pick;harking_as_confirmatory | p_hacking;priority review;"Methodenklassen: recommended/optional/reflex/incomplete/low_value/misleading/invalid; Review=priority review";;Vage Projektidee in eine prüfbare, klinisch relevante Forschungsfrage übersetzen | Explorative Omics-Ergebnisse von validierbaren Hypothesen und Signaturen trennen | Explorativ vs. konfirmatorisch transparent trennen und Data-Fishing vermeiden;RES | Forschung | Hypothese | PICO | RNA-Seq | Omics | Data Fishing | HARKing | Studienplanung
MTB_IO_001_v1_0;MTB_IO_001;TIL-reicher dMMR/MSI-H-Tumor → Immunescape und Lynch-Kontext;MTB;no;Immunescape / IO / MSI-TMB-PD-L1;clinical_decision;Standard;8;12;Intermediate;curated-core;Core/MVP prüfen;high;"MTB; Länge=Standard; Schwierigkeit=Intermediate; Status=curated-core";yes;Nach Fallakte/Anamnese/Histo-Material, vor Anforderung;2;"Single Choice; Multi Select";Was ist die zentrale klinisch-molekulare Fragestellung in diesem Fall?;Welcher RAS/BRAF/MMR/MSI- oder MLH1-Reflexpfad ist für die Therapie-/Lynch-Frage relevant?;;;"2 Gate-Frage(n); Single Choice / Multi Select; vor Hauptentscheidung";major-critical;3;70;"strengster Cap gewinnt; weitere Critical/Fatal-Fehler geben Zusatzabzüge innerhalb des Caps; Cap verbessert nie";passed / borderline / critical_fail / incomplete je nach Score, Fatal-Fehlern und Abschlussstatus;"Strengster Cap 70%; weitere kritische Fehler: Zusatzabzug innerhalb dieses Caps; Cap kann Score nie verbessern.";mmr_ihc | msi_pcr_ngs | broad_pan_panel | tmb_ngs;;;;priority review;"Methodenklassen: recommended/optional/reflex/incomplete/low_value/misleading/invalid; Review=priority review";Immunescape und Lynch-Kontext;Zentrale klinisch-molekulare Fragestellung aus Anamnese, Histologie und Materialkontext ableiten | MMR/MSI-Befunde therapeutisch und hereditär korrekt einordnen | Musterlösung im MTB klar, limitiert und patientenrelevant kommunizieren;MSI-H | dMMR | MSH2 | MSH6 | TILs | TMB | PD-L1 | Immuntherapie | Lynch
MTB_CNS_001_v1_0;MTB_CNS_001;Glioblastom → MGMT/IDH/Methylierung und Temozolomid-Kontext;MTB;no;Neuroonkologie / Epigenetik / Methylierung;clinical_decision;Standard;8;12;Intermediate;curated-core;Core/MVP prüfen;high;"MTB; Länge=Standard; Schwierigkeit=Intermediate; Status=curated-core";yes;Nach Fallakte/Anamnese/Histo-Material, vor Anforderung;2;"Single Choice; Multi Select";Was ist die zentrale klinisch-molekulare Fragestellung in diesem Fall?;Welche Rolle spielt Methylierung/IDH/MGMT als diagnostische, prädiktive oder Klassifikations-Ebene?;;;"2 Gate-Frage(n); Single Choice / Multi Select; vor Hauptentscheidung";major;2;75;"strengster Cap gewinnt; weitere Critical/Fatal-Fehler geben Zusatzabzüge innerhalb des Caps; Cap verbessert nie";passed / borderline / critical_fail / incomplete je nach Score, Fatal-Fehlern und Abschlussstatus;"Strengster Cap 75%; weitere kritische Fehler: Zusatzabzug innerhalb dieses Caps; Cap kann Score nie verbessern.";idh1_ihc_seq | glioma_ngs_panel | broad_pan_panel | mgmt_methylation | cns_methylation_classifier;;ras_panel_crc | dna_lung_panel | hrd_score;tmb_msi_neuro;priority review;"Methodenklassen: recommended/optional/reflex/incomplete/low_value/misleading/invalid; Review=priority review";MGMT/IDH/Methylierung und Temozolomid-Kontext;Zentrale klinisch-molekulare Fragestellung aus Anamnese, Histologie und Materialkontext ableiten | Epigenetische Marker/Methylierungsprofile als diagnostische oder prädiktive Ebene einordnen | Musterlösung im MTB klar, limitiert und patientenrelevant kommunizieren;Glioblastom | MGMT | IDH | Methylierung | Temozolomid | Neuroonkologie | Epigenetik
MET_NGS_003_v1_0;MET_NGS_003;ERBB2-VUS mit Therapieanfrage → Evidenz, Kontext und MTB-Kommunikation;MTB;yes;Methodik / Befundinterpretation;clinical_decision;Standard;6;10;Advanced;curated-core;Core/MVP prüfen;high;"MTB + MET-Zusatztyp; Länge=Standard; Schwierigkeit=Advanced; Status=curated-core";yes;Nach Fallakte/Anamnese/Histo-Material, vor Anforderung;2;"Single Choice; Multi Select";Was ist die zentrale klinisch-molekulare Fragestellung in diesem Fall?;Welche Evidenz reicht aus, und warum darf ein VUS nicht therapeutisch overcalled werden?;;;"2 Gate-Frage(n); Single Choice / Multi Select; vor Hauptentscheidung";major-critical;3;65;"strengster Cap gewinnt; weitere Critical/Fatal-Fehler geben Zusatzabzüge innerhalb des Caps; Cap verbessert nie";passed / borderline / critical_fail / incomplete je nach Score, Fatal-Fehlern und Abschlussstatus;"Strengster Cap 65%; weitere kritische Fehler: Zusatzabzug innerhalb dieses Caps; Cap kann Score nie verbessern.";erbb2_variant_ngs | broad_pan_panel | her2_ihc | her2_fish | vus_literature_review | orthogonal_confirmation;;;direct_her2_therapy;priority review;"Methodenklassen: recommended/optional/reflex/incomplete/low_value/misleading/invalid; Review=priority review";Evidenz, Kontext und MTB-Kommunikation;Zentrale klinisch-molekulare Fragestellung aus Anamnese, Histologie und Materialkontext ableiten | VUS evidenzbasiert kommunizieren und therapeutisches Overcalling vermeiden | Musterlösung im MTB klar, limitiert und patientenrelevant kommunizieren;VUS | ERBB2 | HER2 | Evidenz | MTB | Befundkommunikation
LAB_POST_001_v1_0;LAB_POST_001;Pipeline-Version geändert, kein Change-Log → Bioinformatik-QM und Impact-Analyse;LAB;no;Postanalytik / Bioinformatik / Change-Control;qm_capa_decision;Complex;20;30;Advanced;curated-core;Core/MVP prüfen;high;"LAB; Länge=Complex; Schwierigkeit=Advanced; Status=curated-core";yes;Nach Proben-/Run-/QC-Kontext, vor Freigabe/CAPA-Entscheidung;4;"Single Choice; Multi Select";Welches patientensicherheits- oder qualitätsrelevante Risiko liegt im aktuellen Labor-/Run-Kontext vor?;Welche Change-Control-, Versionierungs- oder Audit-Trail-Anforderung folgt aus dem Ereignis?;Welche Dokumentation, Abweichungsmeldung, CAPA oder SOP-/Versionierungsprüfung ist erforderlich?;Welche Freigabe-, Teilfreigabe-, Sperr- oder Wiederholungsentscheidung ist fachlich begründbar?;"4 Gate-Frage(n); Single Choice / Multi Select; vor Hauptentscheidung";critical;4;55;"strengster Cap gewinnt; weitere Critical/Fatal-Fehler geben Zusatzabzüge innerhalb des Caps; Cap verbessert nie";passed / borderline / critical_fail / incomplete je nach Score, Fatal-Fehlern und Abschlussstatus;"Strengster Cap 55%; weitere kritische Fehler: Zusatzabzug innerhalb dieses Caps; Cap kann Score nie verbessern.";traceability_review | sop_version_review | risk_based_hold | deviation_documentation | capa_workflow;;release_without_review | comment_only_no_capa;ignore_qc_warning;priority review;"Methodenklassen: recommended/optional/reflex/incomplete/low_value/misleading/invalid; Review=priority review";Variant Caller wurde von Version 3.4 auf 4.1 aktualisiert.;Patientensicherheits- und Qualitätsrisiko des Ereignisses korrekt priorisieren | Pipeline-/Softwareänderungen über Change-Control, Revalidierung und Versionierung absichern | Freigabe-, Sperr- oder Wiederholungsentscheidung auditfähig begründen;Bioinformatik | Pipeline | Versionierung | Change-Control | Audit | NGS, complex_case, AP1b_length_reclass
LAB_DOC_001_v1_0;LAB_DOC_001;‚PCR wie immer gemacht‘ → Dokumentation, Rückverfolgbarkeit und Auditfähigkeit;LAB;no;Dokumentation / Rückverfolgbarkeit / Audit;qm_capa_decision;Standard;5;8;Expert;curated-core;Core/MVP prüfen;high;"LAB; Länge=Standard; Schwierigkeit=Expert; Status=curated-core";yes;Nach Proben-/Run-/QC-Kontext, vor Freigabe/CAPA-Entscheidung;2;"Single Choice; Multi Select";Welches patientensicherheits- oder qualitätsrelevante Risiko liegt im aktuellen Labor-/Run-Kontext vor?;Welche Sofortmaßnahme schützt vor falsch-positiven oder kontaminierten Ergebnissen?;;;"2 Gate-Frage(n); Single Choice / Multi Select; vor Hauptentscheidung";critical;3;55;"strengster Cap gewinnt; weitere Critical/Fatal-Fehler geben Zusatzabzüge innerhalb des Caps; Cap verbessert nie";passed / borderline / critical_fail / incomplete je nach Score, Fatal-Fehlern und Abschlussstatus;"Strengster Cap 55%; weitere kritische Fehler: Zusatzabzug innerhalb dieses Caps; Cap kann Score nie verbessern.";traceability_review | sop_version_review | risk_based_hold | deviation_documentation | capa_workflow;;release_without_review | comment_only_no_capa;ignore_qc_warning;priority review;"Methodenklassen: recommended/optional/reflex/incomplete/low_value/misleading/invalid; Review=priority review";;Patientensicherheits- und Qualitätsrisiko des Ereignisses korrekt priorisieren | Abweichung, Ursachenanalyse und CAPA nachvollziehbar dokumentieren | Freigabe-, Sperr- oder Wiederholungsentscheidung auditfähig begründen;Dokumentation | Laborbuch | qPCR | SOP | Lot | Audit | Rückverfolgbarkeit
