key;message_id;scope;source_type;source_locator;classification;active_in_app;source_hash;source_de;protected_tokens;notes;en;ro;el;es;fr
case.LAB_AUDIT_001_v1_3.short;msg_f945acecfd178aef;cases;case_library;cases[LAB_AUDIT_001_v1_3].short;translatable;True;f945acecfd178aefce222c2021be8b8c7d0f2b625dbdb70a56235ec81dcc89b8;Auditor fragt nach SOP-Version und…;SOP;;;;;;
case.LAB_AUDIT_001_v1_3.title;msg_5452370b9c8b1c42;cases;case_library;cases[LAB_AUDIT_001_v1_3].title;translatable;True;5452370b9c8b1c4286e01d0501c50fde2c2af775c2e12cf1c7572339577ce3f6;Auditor fragt nach SOP-Version und Schulungsnachweis → Dokumente/Kompetenzmatrix zeigen;SOP;;;;;;
case.LAB_CAPA_001_v1_3.short;msg_c82be3c768cd22d7;cases;case_library;cases[LAB_CAPA_001_v1_3].short;translatable;True;c82be3c768cd22d77509a87f317b716aef43840020a92295b63ca00c0023430e;Wiederholte Kontamination in einem…;;;;;;;
case.LAB_CAPA_001_v1_3.title;msg_9cf5763265ab2566;cases;case_library;cases[LAB_CAPA_001_v1_3].title;translatable;True;9cf5763265ab2566927990948663251fd43d8fe9b1f4f39f15cc5e44075696f2;Wiederholte Kontamination in einem Assay → Root Cause, Korrektur, Prävention;;;;;;;
case.LAB_DATA_001_v1_3.short;msg_58bb46bf2129acd9;cases;case_library;cases[LAB_DATA_001_v1_3].short;translatable;True;58bb46bf2129acd911bcc259c463cf9349ca7f55bf6434a2ed9aad26e837ec4e;Excel-Export mit Patientendaten im…;;;;;;;
case.LAB_DATA_001_v1_3.title;msg_68176ae375e0e5e6;cases;case_library;cases[LAB_DATA_001_v1_3].title;translatable;True;68176ae375e0e5e699884d8f1ef7ecda34e1e59f71f6235340cacc1498698b75;Excel-Export mit Patientendaten im Projektordner → Pseudonymisierung/Need-to-know;;;;;;;
case.LAB_DATA_002_v1_3.short;msg_1b7a8bef0043626f;cases;case_library;cases[LAB_DATA_002_v1_3].short;translatable;True;1b7a8bef0043626fe5dc731279019c40e02f112fa3d57774b3bfae8260c3d8e4;Ransomware/Serverausfall im NGS-Ar…;NGS;;;;;;
case.LAB_DATA_002_v1_3.title;msg_47390d1cf1bb5e8c;cases;case_library;cases[LAB_DATA_002_v1_3].title;translatable;True;47390d1cf1bb5e8cfd470863f1945208708982f10f9df487089a74f90b20cc41;Ransomware/Serverausfall im NGS-Archiv → Backup, Notfallplan, Wiederherstellung;NGS;;;;;;
case.LAB_DIGI_001_v1_3.short;msg_7faab0572ee1a688;cases;case_library;cases[LAB_DIGI_001_v1_3].short;translatable;True;7faab0572ee1a6889518d135c25fa2bfc86e63a2139e34ee857e2e3c969cc33f;WSI-Scan unscharf: trotzdem für Tu…;;;;;;;
case.LAB_DIGI_001_v1_3.title;msg_cbb9f999c3b90f29;cases;case_library;cases[LAB_DIGI_001_v1_3].title;translatable;True;cbb9f999c3b90f294a4507eeca98c4b9f4a2e255111c30a31d2113542c6adb95;WSI-Scan unscharf: trotzdem für Tumoranteilsschätzung nutzen? → Bildqualität und Befundqualität;;;;;;;
case.LAB_DIGI_002_v1_3.short;msg_daeac9843f456dd4;cases;case_library;cases[LAB_DIGI_002_v1_3].short;translatable;True;daeac9843f456dd4f459394e8fe590023161f6e91eb8b2bf40883244d99147b4;PD-L1-KI-Score ohne lokale Validie…;PD-L1;;;;;;
case.LAB_DIGI_002_v1_3.title;msg_fde6b8b5cb05a27e;cases;case_library;cases[LAB_DIGI_002_v1_3].title;translatable;True;fde6b8b5cb05a27eaea68af8d0de5791ccb605cbcac0183ac235ab93ae0dd078;PD-L1-KI-Score ohne lokale Validierung → KI als Assistenz, nicht finaler Befund;PD-L1;;;;;;
case.LAB_DOC_001_v1_0.short;msg_263330d3a1fd587c;cases;case_library;cases[LAB_DOC_001_v1_0].short;review;True;263330d3a1fd587ce21a90be57822638aa9304b72aee0a62501880cd28f00906;PCR-Dokumentation;PCR;;;;;;
