base_id,case_id,domain,title,method_role,method_filter_eligible,method_focus_domains,method_issue_types,method_techniques,legacy_met_addon_type,strict_review_previous_role,strict_review_note
MTB_NSCLC_001,MTB_NSCLC_001_v0_6,MTB,Pulmonale Raumforderung → NSCLC → molekulare Therapieentscheidung,driver,True,molecular_diagnostics; laboratory_analytics_qc,assay_selection; material_adequacy,DNA-NGS; RNA-NGS; IHC,no,driver,Confirmed on strict second pass.
MTB_CRC_001,MTB_CRC_001_v0_6,MTB,Metastasiertes CRC → RAS/BRAF/MMR/MSI vor Systemtherapie,supporting,False,,,MSI/MMR,no,supporting,Confirmed on strict second pass.
MTB_OVAR_001,MTB_OVAR_001_v0_7,MTB,High-grade seröses Ovarialkarzinom → BRCA/HRD/PARP/Keimbahn-Kontext,supporting,False,,,HRD/BRCA testing,no,supporting,Confirmed on strict second pass.
LAB_RUN_002,LAB_RUN_002_v0_8,LAB,"Hotspot-Mutation in der Negativkontrolle → Run-Sperre, Ursachenanalyse und CAPA",driver,True,laboratory_analytics_qc,contamination; negative_control; run_acceptance,DNA-NGS,no,driver,Confirmed on strict second pass.
RES_HYP_001,RES_HYP_001_v0_9,RES,Wir messen mal alles → von Omics-Idee zur prüfbaren Hypothese,driver,True,research_methodology,hypothesis_design; exploratory_confirmatory,RNA-NGS; FISH/ISH; RNA-seq/Omics,no,driver,Confirmed on strict second pass.
MTB_IO_001,MTB_IO_001_v1_0,MTB,TIL-reicher dMMR/MSI-H-Tumor → Immunescape und Lynch-Kontext,supporting,False,,,IHC; MSI/MMR,no,supporting,Confirmed on strict second pass.
MTB_CNS_001,MTB_CNS_001_v1_0,MTB,Glioblastom → MGMT/IDH/Methylierung und Temozolomid-Kontext,supporting,False,,,Methylation,no,supporting,Confirmed on strict second pass.
MET_NGS_003,MET_NGS_003_v1_0,MTB,"ERBB2-VUS mit Therapieanfrage → Evidenz, Kontext und MTB-Kommunikation",supporting,False,,,,yes,driver,VUS/actionability is primarily evidence/variant interpretation; the technical assay is not the decisive pitfall.
LAB_POST_001,LAB_POST_001_v1_0,LAB,"Pipeline-Version geändert, kein Change-Log → Bioinformatik-QM und Impact-Analyse",driver,True,computational_statistics; laboratory_analytics_qc,pipeline_validation; change_control; reproducibility,DNA-NGS; Bioinformatics pipeline,no,driver,Confirmed on strict second pass.
LAB_DOC_001,LAB_DOC_001_v1_0,LAB,"‚PCR wie immer gemacht‘ → Dokumentation, Rückverfolgbarkeit und Auditfähigkeit",supporting,False,,,PCR/dPCR,no,supporting,Confirmed on strict second pass.
RES_OMICS_001,RES_OMICS_001_v1_0,RES,RNA-Seq findet 200 DEGs → vom Genlisten-Friedhof zur validierbaren Signatur,driver,True,computational_statistics; research_methodology,omics_prioritization; multiple_candidates; validation_strategy,RNA-NGS; RNA-seq/Omics,no,driver,Confirmed on strict second pass.
RES_ETH_001,RES_ETH_001_v1_0,RES,"Restmaterialprojekt ohne klare Einwilligung → Ethik, Datenschutz und Nebenbefunde",none,False,,,,no,none,Confirmed on strict second pass.
MTB_NSCLC_002,MTB_NSCLC_002_v1_3,MTB,NSCLC mit EGFR-Mutation und Progress unter TKI → Liquid Biopsy negativ: reicht das oder Rebiopsie?,driver,True,molecular_diagnostics,negative_result_limits; sampling_sensitivity,Liquid biopsy; AI/ML,no,driver,Confirmed on strict second pass.
MTB_NSCLC_003,MTB_NSCLC_003_v1_3,MTB,"ALK/ROS1/RET/NTRK-Fusionsverdacht bei jungem Nie-Raucher → FISH, RNA-NGS oder DNA-NGS?",driver,True,molecular_diagnostics,assay_selection; fusion_detection; negative_result_limits,DNA-NGS; RNA-NGS; FISH/ISH,no,driver,Confirmed on strict second pass.
MTB_NSCLC_004,MTB_NSCLC_004_v1_3,MTB,"KRAS-mutiertes NSCLC mit STK11/KEAP1-Kontext → Target, Prognose, Immuntherapie-Kontext korrekt gewichten",none,False,,,,no,none,Confirmed on strict second pass.
MTB_MEL_001,MTB_MEL_001_v1_3,MTB,Melanom: BRAF V600 und Immuntherapie-Sequenz → Schnelle TKI-Therapie vs. Immuncheckpoint-Strategie,none,False,,,,no,none,Confirmed on strict second pass.
MTB_GIST_001,MTB_GIST_001_v1_3,MTB,GIST mit KIT/PDGFRA-Fragestellung → Welcher Marker entscheidet über TKI-Auswahl?,supporting,False,,,,no,supporting,Confirmed on strict second pass.
MTB_CHOL_001,MTB_CHOL_001_v1_3,MTB,Cholangiozelluläres Karzinom mit FGFR2/IDH-Frage → Paneldiagnostik und Studienoptionen,supporting,False,,,DNA-NGS,no,supporting,Confirmed on strict second pass.
MTB_CRC_002,MTB_CRC_002_v1_3,MTB,MMR-Verlust MLH1/PMS2: sporadisch oder Lynch? → MLH1-Methylierung/BRAF? Humangenetik?,supporting,False,,,IHC; MSI/MMR; Methylation,no,driver,"The core difficulty is the biological/diagnostic Lynch-vs-sporadic algorithm, not a technical limitation or method-performance problem."
MTB_CRC_003,MTB_CRC_003_v1_3,MTB,"Rechte Kolonkarzinom-Metastase mit BRAF V600E → Prognose, MSI-Kontext, Therapieoption",none,False,,,,no,none,Confirmed on strict second pass.
MTB_CRC_004,MTB_CRC_004_v1_3,MTB,Polypenrest statt invasivem Tumor eingeschickt → Befundbar oder neues Material anfordern?,driver,True,molecular_diagnostics; laboratory_analytics_qc,material_adequacy; preanalytics; negative_result_limits,MSI/MMR,no,driver,Confirmed on strict second pass.
MTB_CRC_005,MTB_CRC_005_v1_3,MTB,HER2-amplifiziertes RAS-WT-CRC → HER2 als Resistenz-/Target-Kontext,supporting,False,,,DNA-NGS; MSI/MMR,no,supporting,Confirmed on strict second pass.
MTB_OVAR_002,MTB_OVAR_002_v1_3,MTB,BRCA2-Variante unklarer Signifikanz im Ovarialkarzinom → VUS nicht als therapeutisch gesichert verkaufen,supporting,False,,,HRD/BRCA testing,no,driver,"The central challenge is VUS evidence/actionability, not assay selection, quality or limitation."
MTB_MAMMA_001,MTB_MAMMA_001_v1_3,MTB,Mammakarzinom: BRCA/PIK3CA/ERBB2-Kontext → Klassische Marker vs. Panel-Zusatznutzen,supporting,False,,,HRD/BRCA testing,no,driver,The case asks for biomarker/panel scope in a clinical context; no concrete methodological pitfall determines the result.
MTB_PROST_001,MTB_PROST_001_v1_3,MTB,Metastasiertes Prostatakarzinom: HRR-Gene/MMR → PARP/IO/Studie und Keimbahnfrage,supporting,False,,,MSI/MMR,no,supporting,Confirmed on strict second pass.
MTB_TAML_001,MTB_TAML_001_v1_3,MTB,Therapieassoziierte MDS/AML nach DNA-schädigender Therapie → Instabilität als Chance und Risiko einordnen,none,False,,,,no,none,Confirmed on strict second pass.
MTB_IO_002,MTB_IO_002_v1_3,MTB,„Cold Tumor“ mit wenig TILs und dichter Stromabarriere → Warum ist PD-1 allein wahrscheinlich schwach?,none,False,,,,no,none,Confirmed on strict second pass.
MTB_IO_003,MTB_IO_003_v1_3,MTB,"PD-L1 positiv, aber niedrige TMB und kein Immuninfiltrat → PD-L1 nicht überinterpretieren",supporting,False,,,IHC; MSI/MMR,no,supporting,Confirmed on strict second pass.
MTB_IO_004,MTB_IO_004_v1_3,MTB,"MSI-H-Karzinom: Therapieoption und Lynch-Abklärung → IO, MMR-IHC, Keimbahnkontext",supporting,False,,,IHC; MSI/MMR,no,supporting,Confirmed on strict second pass.
MTB_IO_005,MTB_IO_005_v1_3,MTB,"Antibiotika kurz vor ICI, Mikrobiom-Frage im Tumorboard → Evidenz korrekt begrenzen",none,False,,,,no,none,Confirmed on strict second pass.
MTB_CNS_002,MTB_CNS_002_v1_3,MTB,IDH-mutiertes Gliom mit G-CIMP-Profil → IDH-IHC/Sequenzierung/Methylom einordnen,driver,True,molecular_diagnostics,assay_selection; orthogonal_integration,IHC; Methylation,no,driver,Confirmed on strict second pass.
MTB_CNS_003,MTB_CNS_003_v1_3,MTB,Histologisch unklarer ZNS-Tumor: Methylierungsclassifier → Wann hilft Methylom-Klassifikation?,driver,True,molecular_diagnostics,classifier_selection; assay_limits,DNA-NGS; Methylation,no,driver,Confirmed on strict second pass.
MTB_HEM_001,MTB_HEM_001_v1_3,MTB,MDS/AML mit DNMT3A/TET2/ASXL1 → CHIP vs. hämatologische Neoplasie,supporting,False,,,,no,supporting,Confirmed on strict second pass.
MTB_METH_001,MTB_METH_001_v1_3,MTB,MLH1-Promotor-Methylierung bei MSI-H-CRC → sporadisch vs. Lynch,supporting,False,,,MSI/MMR; Methylation,no,driver,"MLH1 methylation is used as a discriminator, but the difficulty is biological/diagnostic interpretation rather than the method itself."
MTB_ANGIO_001,MTB_ANGIO_001_v1_3,MTB,mCRC: Bevacizumab und VEGF-Angiogenese → Anti-VEGF biologisch erklären,none,False,,,,no,none,Confirmed on strict second pass.
MTB_RCC_001,MTB_RCC_001_v1_3,MTB,Klarzelliges RCC: VHL/HIF/VEGF-Achse → Warum TKI/IO-Kombination plausibel ist,none,False,,,,no,none,Confirmed on strict second pass.
MTB_GBM_ANGIO_001,MTB_GBM_ANGIO_001_v1_3,MTB,Glioblastom mit Gefäßproliferation und Hypoxie → Antiangiogenese: kurzfristiger Effekt vs. Resistenz,none,False,,,,no,none,Confirmed on strict second pass.
MTB_TME_001,MTB_TME_001_v1_3,MTB,Stromareicher Tumor mit immune-excluded Pattern → Warum Stroma Therapieantwort beeinflusst,none,False,,,,no,none,Confirmed on strict second pass.
MTB_INV_001,MTB_INV_001_v1_3,MTB,EMT-/Invasionsfront-Fall mit Metastasenrisiko → Morphologie → Hallmark → klinische Konsequenz,none,False,,,,no,none,Confirmed on strict second pass.
MET_NGS_001,MET_NGS_001_v1_3,MTB,Coverage-Loch in therapieentscheidendem Exon → Befund mit Limitation oder Wiederholung?,driver,True,molecular_diagnostics,coverage; negative_result_limits; repeat_strategy,DNA-NGS,yes,driver,Confirmed on strict second pass.
MET_NGS_002,MET_NGS_002_v1_3,MTB,FFPE-C>T-Artefakt bei niedriger VAF → Artefakt vs. echte Subklonmutation,driver,True,molecular_diagnostics,artifact_recognition; ffpe_damage; low_vaf,DNA-NGS,yes,driver,Confirmed on strict second pass.
MET_NGS_004,MET_NGS_004_v1_3,MTB,Tumor-only NGS: Keimbahnverdacht BRCA/TP53 → Humangenetische Abklärung empfehlen?,driver,True,molecular_diagnostics,germline_somatic_boundary; tumor_only_limits,DNA-NGS; HRD/BRCA testing,yes,driver,Confirmed on strict second pass.
MET_RNA_001,MET_RNA_001_v1_3,MTB,"DNA-NGS negativ, aber Fusionsverdacht bleibt → RNA-NGS/FISH ergänzen",driver,True,molecular_diagnostics,assay_selection; fusion_detection; negative_result_limits,DNA-NGS; RNA-NGS; FISH/ISH,yes,driver,Confirmed on strict second pass.
MET_LB_001,MET_LB_001_v1_3,MTB,Liquid Biopsy negativ bei Progress → Negativ ≠ sicher negativ,driver,True,molecular_diagnostics,sampling_sensitivity; negative_result_limits,Liquid biopsy,yes,driver,Confirmed on strict second pass.
MET_PCR_001,MET_PCR_001_v1_3,MTB,qPCR/dPCR für MRD statt breites Panel → Zielgerichtete sensitive Methode wählen,driver,True,molecular_diagnostics,assay_selection; sensitivity_lod; mrd,PCR/dPCR,yes,driver,Confirmed on strict second pass.
