scope;messages_total;translatable;protected;review;en_complete;en_missing;en_coverage_pct;ro_complete;ro_missing;ro_coverage_pct;el_complete;el_missing;el_coverage_pct;es_complete;es_missing;es_coverage_pct;fr_complete;fr_missing;fr_coverage_pct
ALL;3373;2789;162;422;452;2921;13.4;452;2921;13.4;452;2921;13.4;452;2921;13.4;452;2921;13.4
cases;501;422;40;39;2;499;0.4;2;499;0.4;2;499;0.4;2;499;0.4;2;499;0.4
courses;51;27;23;1;0;51;0.0;0;51;0.0;0;51;0.0;0;51;0.0;0;51;0.0
deep_dive;991;868;16;107;6;985;0.61;6;985;0.61;6;985;0.61;6;985;0.61;6;985;0.61
metadata;128;125;0;3;0;128;0.0;0;128;0.0;0;128;0.0;0;128;0.0;0;128;0.0
methods;236;132;63;41;173;63;73.31;173;63;73.31;173;63;73.31;173;63;73.31;173;63;73.31
reasoning_gates;31;31;0;0;0;31;0.0;0;31;0.0;0;31;0.0;0;31;0.0;0;31;0.0
runtime_ui;1300;1121;15;164;136;1164;10.46;136;1164;10.46;136;1164;10.46;136;1164;10.46;136;1164;10.46
scoring;7;7;0;0;7;0;100.0;7;0;100.0;7;0;100.0;7;0;100.0;7;0;100.0
ui;128;56;5;67;128;0;100.0;128;0;100.0;128;0;100.0;128;0;100.0;128;0;100.0
