case_id,asset_no,asset_id,purpose
MET_NGS_001_v1_3,1,referral_request,Thoracic oncology referral / MTB request with treatment deadline
MET_NGS_001_v1_3,2,ngs_qc_dashboard,"NGS run QC dashboard: globally strong run, local warning flag"
MET_NGS_001_v1_3,3,egfr_ex20_coverage_plot,Target-level coverage plot highlighting EGFR exon 20 at 24×
MET_NGS_001_v1_3,4,negative_panel_report,"Initial molecular report summarizing no actionable driver, with problematic scope"
MET_NGS_001_v1_3,5,orthogonal_egfr_ex20_result,Independent targeted assay detecting EGFR exon 20 insertion
MET_NGS_001_v1_3,6,amended_integrated_report,Corrected final report: local limitation + confirmed actionable alteration
MET_NGS_001_v1_3,7,method_comparison_card,Compact visual: repeat same assay vs orthogonal confirmation
MET_NGS_002_v1_3,1,progress_referral,Clinical progress / resistance-testing request
MET_NGS_002_v1_3,2,ffpe_dna_qc,FFPE DNA QC report showing fragmentation and damage risk
MET_NGS_002_v1_3,3,t790m_variant_viewer,Variant viewer with EGFR T790M at 1.4% VAF
MET_NGS_002_v1_3,4,ct_artifact_pattern,Read/strand/end-context view with multiple low-level C>T/G>A events
MET_NGS_002_v1_3,5,repeat_extraction_result,Independent extraction showing non-reproducible T790M
MET_NGS_002_v1_3,6,orthogonal_confirmation,Orthogonal target assay negative for T790M while primary EGFR driver remains positive
MET_NGS_002_v1_3,7,amended_report,Final report rejecting the resistance call as non-validated
MET_RNA_001_v1_3,1,he_overview,Histology overview compatible with inflammatory myofibroblastic tumor
MET_RNA_001_v1_3,2,alk_ihc,Strong diffuse ALK IHC
MET_RNA_001_v1_3,3,dna_fusion_report,"DNA-NGS report: no fusion call, intronic coverage limitation"
MET_RNA_001_v1_3,4,dna_intron_coverage,Coverage map illustrating structural blind spot
MET_RNA_001_v1_3,5,rna_fusion_viewer,RNA-NGS fusion viewer showing TPM3::ALK
MET_RNA_001_v1_3,6,alk_fish,ALK break-apart FISH confirming rearrangement
MET_RNA_001_v1_3,7,integrated_report,Integrated molecular pathology report reconciling DNA-negative/RNA-positive findings
