case_id,courses,runtime_signature,deep_dive_found,context_cards,pre_results,reasoning_gates,result_packages,twist,debrief_points,instructor_notes,content_structure_signature_ready,static_assets,upgrade_need
MTB_NSCLC_001_v0_6,course_mtb_basics,True,False,0,0,0,0,False,0,False,False,16,none
MTB_CRC_001_v0_6,course_mtb_basics,True,False,0,0,0,0,False,0,False,False,14,none
MTB_OVAR_001_v0_7,course_mtb_basics,True,False,0,0,0,0,False,0,False,False,10,none
MTB_IO_001_v1_0,course_mtb_basics,True,False,0,0,0,0,False,0,False,False,9,none
MET_NGS_003_v1_0,course_mtb_basics,True,True,3,3,4,3,True,3,True,True,9,none
MET_NGS_001_v1_3,course_method_pitfalls,False,True,3,3,4,3,True,3,True,True,0,asset+polish
MET_NGS_002_v1_3,course_method_pitfalls,False,True,3,3,4,3,True,3,True,True,0,asset+polish
MET_RNA_001_v1_3,course_method_pitfalls,False,True,3,3,4,3,True,3,True,True,0,asset+polish
MET_LB_001_v1_3,course_method_pitfalls,False,True,3,3,4,3,True,3,True,True,0,asset+polish
MET_NGS_004_v1_3,course_method_pitfalls|course_advanced_integrated,False,True,3,3,4,3,True,3,True,True,0,asset+polish
LAB_RUN_002_v0_8,course_qm_basics,True,False,0,0,0,0,False,0,False,False,3,none
LAB_RUN_001_v1_3,course_qm_basics,False,True,3,3,3,3,True,3,True,True,0,asset+polish
LAB_PRE_001_v1_3,course_qm_basics,False,True,3,3,3,3,True,3,True,True,0,asset+polish
LAB_POST_001_v1_0,course_qm_basics|course_advanced_integrated,True,False,0,0,0,0,False,0,False,False,9,none
LAB_DOC_001_v1_0,course_qm_basics,True,True,4,4,4,4,True,6,True,True,9,none
RES_HYP_001_v0_9,course_res_basics,True,False,0,0,0,0,False,0,False,False,9,none
RES_OMICS_001_v1_0,course_res_basics,True,True,4,4,4,4,True,6,True,True,5,none
RES_ETH_001_v1_0,course_res_basics,True,True,5,4,4,4,True,7,True,True,10,none
RES_ROLE_001_v1_3,course_res_basics,False,True,4,3,3,3,True,5,True,True,0,asset+polish
RES_IMPL_001_v1_3,course_res_basics,False,True,4,3,3,3,True,5,True,True,0,asset+polish
MTB_NSCLC_002_v1_3,course_advanced_integrated,True,False,0,0,0,0,False,0,False,False,9,none
MTB_OVAR_002_v1_3,course_advanced_integrated,True,False,0,0,0,0,False,0,False,False,10,none
RES_ETH_002_v1_3,course_advanced_integrated,False,True,4,3,3,3,True,5,True,True,0,asset+polish
