case_id,domain,title_de,signature_case,old_time,z12_time,time_changed,old_difficulty,z12_difficulty,difficulty_changed,rationale
MTB_NSCLC_001_v0_6,MTB,"Metastasiertes Lungenadenokarzinom, kleine Biopsie: vollständige prädiktive Diagnostik ohne Materialverschwendung",yes,8–12,12–15,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_CRC_001_v0_6,MTB,mCRC: RAS/BRAF/MMR/MSI vor Systemtherapie,yes,8–12,12–15,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_OVAR_001_v0_7,MTB,"HGSOC mit alter BRCA1-Variante: FFPE-Artefakt, Liquid Biopsy und PARP-Kontext",yes,10–14,18–25,yes,intermediate,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
LAB_RUN_002_v0_8,LAB,"Hotspot-Mutation in der Negativkontrolle: Run-Sperre, Ursachenanalyse und CAPA",yes,10–15,12–15,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
RES_HYP_001_v0_9,RES,Wir messen mal alles: aus Omics-Idee eine prüfbare translationale Hypothese bauen,yes,10–15,12–15,yes,beginner_intermediate,intermediate,yes,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_IO_001_v1_0,MTB,"dMMR/MSI-H Endometriumkarzinom: Immunescape, IO und Lynch-Kontext",yes,8–12,12–15,yes,beginner_intermediate,intermediate,yes,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_CNS_001_v1_0,MTB,"Glioblastom vor Therapieentscheidung: IDH, MGMT und Methylierung richtig integrieren",yes,8–12,15–18,yes,beginner_intermediate,intermediate,yes,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MET_NGS_003_v1_0,MTB / Methoden,Das gelbe „potential target“,no,6–10,11–14,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
LAB_POST_001_v1_0,LAB,"Pipeline-Version geändert, kein Change-Log: Bioinformatik-QM und Impact-Analyse",yes,10–15,20–30,yes,intermediate,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
LAB_DOC_001_v1_0,LAB,"‚PCR wie immer gemacht‘: analytisch valide, trotzdem ein QM-Fall",yes,5–8,12–15,yes,beginner,intermediate,yes,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
RES_OMICS_001_v1_0,RES,"200 DEGs, ein Biomarker? Vom RNA-Seq-Signal zur belastbaren Resistenzhypothese",yes,12–18,18–22,yes,intermediate,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
RES_ETH_001_v1_0,RES,120 Archivblöcke und keine klare Einwilligung: Darf das Projekt starten?,yes,10–14,18–22,yes,beginner_intermediate,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
MTB_NSCLC_002_v1_3,MTB,EGFR-mutiertes NSCLC mit Progress unter Osimertinib: negative Liquid Biopsy richtig einordnen,yes,8–15,20–30,yes,intermediate,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
MTB_NSCLC_003_v1_3,MTB,Junge Nie-Raucherin mit DNA-negativem NSCLC: Ist der Tumor wirklich treibernegativ?,no,8–15,12–15,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_NSCLC_004_v1_3,MTB,KRAS/STK11/KEAP1-NSCLC: Kontextmarker sind kein Therapie-Ausschalter,no,8–15,12–15,yes,intermediate,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
MTB_MEL_001_v1_3,MTB,BRAF-V600-Melanom: Die Mutation eröffnet eine Option – die Klinik bestimmt die Sequenz,no,8–15,12–15,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_GIST_001_v1_3,MTB,GIST ist nicht gleich Imatinib: PDGFRA D842V kippt den TKI-Reflex,no,3–5,8–10,yes,beginner,beginner,no,"Fokussierte Kernentscheidung mit begrenzter Integrationsbreite; Deep-Dive-Tiefe erhöht die Lernstrecke, nicht zwingend die kognitive Stufe."
MTB_CHOL_001_v1_3,MTB,Intrahepatisches Cholangiokarzinom: Das negative DNA-Panel übersieht die strukturelle Targetalteration,no,8–15,12–15,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_CRC_002_v1_3,MTB,Kolorektales Karzinom mit MLH1/PMS2-Verlust: Reflexdiagnostik statt vorschnellem Lynch-Label,yes,8–15,12–15,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_CRC_003_v1_3,MTB,BRAF V600E im rechten mCRC: CRC-Biologie statt Melanom-Copyover,no,3–5,10–13,yes,beginner,intermediate,yes,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_CRC_004_v1_3,MTB/LAB,"Falscher Block, perfektes QC: Wann ein technisch guter Befund klinisch wertlos ist",no,3–5,8–11,yes,beginner,beginner,no,"Fokussierte Kernentscheidung mit begrenzter Integrationsbreite; Deep-Dive-Tiefe erhöht die Lernstrecke, nicht zwingend die kognitive Stufe."
MTB_CRC_005_v1_3,MTB,"Wenn 'negativ' therapeutisch positiv ist: RAS/BRAF-Wildtyp, anti-EGFR und der HER2-Twist",no,8–15,12–15,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_OVAR_002_v1_3,MTB,"HGSOC mit BRCA2-VUS: PARP-Wunsch, Evidenzgrenzen und Keimbahnkommunikation",yes,8–15,20–30,yes,intermediate,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
MTB_MAMMA_001_v1_3,MTB,"Klassische Marker zuerst, Panel danach: HER2 2+, PIK3CA und der Tumor-BRCA2-Twist",no,8–15,12–16,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
